RXN-13195	EC-2.1.1.256
ALDOSE-BETA-FRUCTOSYLTRANSFERASE-RXN	EC-2.4.1.162
RXN-15656	EC-2.1.1
MALTODEG-RXN	
3.5.1.27-RXN	EC-3.5.1.88
RXN-19451	EC-6.2.1.ab
RXN-12227	EC-2.1.1.208
RXN0-7100	
POLYNUCLEOTIDE-5-PHOSPHATASE-RXN	EC-3.1.3.33
RXN-15041	EC-3.1.1.96
6.1.1.24-RXN	EC-6.1.1.24
RXN-14517	EC-2.1.1.228
RXN-11586	EC-2.1.1.192
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
RXN-16435	EC-2.8.1
RXN-17898	EC-2.3.2.29
RXN1G-809	
RXN-20163	EC-1.8.4.16
2.9.1.1-RXN	EC-2.9.1.1
RXN-8706	EC-3.4.21.114
RXN-12476	EC-1.3.1.90
RXN-12455	EC-1.3.1.88
3.4.21.104-RXN	EC-3.4.21.104
RXN-10682	
RXN-20083	
RXN-13391	
MRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.56
RXN-11865	EC-2.1.1.207
RXN-12817	EC-3.6.1.62
RXN0-2942	EC-3.1.21
RXN0-2604	EC-3.6.1
RXN-19470	EC-6.2.1.61
PURINE-IMIDAZOLE-RING-CYCLASE-RXN	EC-4.3.2.4
RXN0-1321	EC-2.4.2.29
RXN-18550	
RXN-19448	EC-6.2.1.ac
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
RXN-9386	EC-6.1.1.24
3.1.26.4-RXN	EC-3.1.26.4
RXN0-6531	
RXN-14530	EC-2.1.1
RXN-18388	EC-2.8.1.4
RXN-11600	EC-2.1.1.189
RXN-17933	
RXN0-6366	EC-2.8.4.4
RXN-12056	EC-6.5.1.M3
RXN-12471	EC-2.1.1.218
RXN-15889	EC-2.7.8.7
RXN1G-1438	EC-3.1.3.12
RXN-10719	EC-2.5.1.73
2.7.7.8-RXN	EC-2.7.7.8
RXN-20080	
RXN-13388	
TRANS-RXN-368	
RXN-14335	EC-2.3.2.20
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC-4.1.99.3
RXN-11859	EC-2.1.1.202
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
RXN-19465	EC-6.2.1.aa
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
RXN-11310	EC-2.3.2.16
RXN-19441	EC-6.2.1.ab
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
RXN-11701	EC-3.4.23.45
LEUCYLTRANSFERASE-RXN	EC-2.3.2.6
3.1.26.12-RXN	EC-3.1.26.12
2.4.1.110-RXN	EC-2.4.1.110
RXN0-6527	EC-4.6.1.21
RXN-14527	EC-2.1.1
3.1.11.2-RXN	EC-3.1.11.2
RXN0-6480	EC-3.1.26.5
RXN-11597	EC-2.1.1.184
RXN-12553	
RXN-11123	
RXN0-6274	EC-2.5.1.75
RXN-19729	EC-3.1.1.96
RXN-11578	EC-2.1.1.170
RXN-19247	EC-4.1.99.3
RXN-17890	EC-2.3.2.8
RXN1G-292	
RXN-10737	EC-1.20.4.4
RXN-12465	EC-2.1.1.224
RXN1G-1435	EC-3.1.3.12
2.7.8.9-RXN	EC-2.7.8.9
RXN-10676	
RXN-17715	EC-2.3.1.230
RXN-11856	EC-2.1.1.203	EC-2.1.1.202
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
RXN-15208	EC-2.3.1.136
RXN-12274	EC-1.17.98.e
RXN-19459	EC-6.2.1.ad
RXN-10994	EC-2.7.8.7
RXN-10991	
TRNA-S-TRANSFERASE-RXN	EC-2.8.1.M2
RXN-19435	
RXN-11697	EC-3.4.23.46
RXN-11177	
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
RXN0-6566	EC-6.5.1.8
RXN-11637	EC-2.1.1.198
PEPTIDYLTRANSFERASE-RXN	EC-2.3.2.12
RXN0-6524	EC-3.1.13.1
RXN-11138	EC-3.4.22.69
RXN-11594	EC-2.1.1.179
RXN-11117	
RXN-19726	EC-3.1.1.96
RXN-17908	EC-6.5.1.8
RXN-19244	EC-4.1.99.3
RXN-12504	
RXN1G-289	
RXN-17846	EC-2.3.2.6
RXN-12462	EC-2.1.1.227
3.4.21.119-RXN	EC-3.4.21.119
2.1.1.113-RXN	EC-2.1.1.113
RXN-12380	EC-2.1.1.215
RXN-21072	EC-4.2.99.M2
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.w
RXN0-2661	EC-3.2.2.31
RXN-19455	EC-6.2.1.ad
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
RXN-19924	EC-4.6.1.22
2.4.1.32-RXN	EC-2.4.1.32
POLYSIALIC-ACID-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.136
RXN-11693	EC-3.4.22.49
LEGHEMOGLOBIN-REDUCTASE-RXN	EC-1.6.2.6
RXN-10039	EC-2.9.1.2
2.4.1.125-RXN	EC-2.4.1.5	EC-2.4.1.125
3.1.22.4-RXN	EC-3.1.21.c
RXN-11633	EC-2.1.1.182
6.3.5.7-RXN	EC-6.3.5.7
RXN0-6521	EC-3.1.26.12
RNA-LIGASE-ATP-RXN	EC-6.5.1.3
RXN-17941	EC-6.5.1
RXN-11591	EC-2.1.1.176
RXN0-5509	EC-3.1.26
5.3.4.1-RXN	EC-5.3.4.1
RXN-17905	EC-6.5.1.8
RXN-18797	EC-3.1.6.20
RXN-13994	EC-3.5.4.36
RXN-19241	EC-4.1.99.13
RXN-10771	EC-4.1.99.13
RXN-12501	EC-5.4.99
RXN-12480	EC-2.1.1.223
RXN-4544	
RXN-12459	EC-2.1.1.221
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
3.4.21.113-RXN	EC-3.4.21.113
RXN-21148	EC-6.2.1.ad
HISTIDINE--TRNA-LIGASE-RXN	EC-6.1.1.21
RXN-21118	
RXN-12878	
RXN-12376	EC-2.1.1.216
RXN-11869	EC-2.1.1.206
RXN-17707	
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
RXN0-2621	EC-3.1.25
2.5.1.25-RXN	EC-2.5.1.25
RXN-19486	EC-2.3.1
RXN0-7283	EC-3.6.1
RXN-19452	
ALANYLPHOSPHATIDYLGLYCEROL-SYNTHASE-RXN	EC-2.3.2.11
RXN-12228	EC-2.1.1.209
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
RXN-12144	EC-2.4.2.48
RNA-3-PHOSPHATE-CYCLASE-RXN	EC-6.5.1.4
6.1.1.26-RXN	EC-6.1.1.26
RXN-17899	EC-2.3.2.29
RXN-12497	EC-5.4.99.44
RXN1G-810	
RXN-12477	EC-2.1.1.225
RXN-21179	EC-2.5.1.25
RXN-12456	EC-1.3.1.91
3.4.21.105-RXN	EC-3.4.21.105
RXN-11952	EC-3.1.6.20
RXN-12372	
RXN-11866	EC-2.1.1.200	EC-2.1.1.205
RXN8J2-80	EC-2.3.2.22
13-BETA-GLUCAN-PHOSPHORYLASE-RXN	EC-2.4.1.97
RXN0-2605	EC-3.1.11.5
RXN0-7346	
RXN0-1342	EC-2.4.99.17
RXN-19449	
RXN-16637	EC-3.1.1.29
POLYNUCLEOTIDE-3-PHOSPHATASE-RXN	EC-3.1.3.32
RXN0-6484	EC-3.1.13.5
RXN-11601	EC-2.1.1.190
RXN490-3616	EC-6.1.1.23
RXN0-5435	
RXN1G-807	
RXN-20159	EC-1.8.5.9
RXN-12472	EC-2.1.1.217
4.2.99.18-RXN	EC-4.2.99.18
RXN1G-1439	EC-3.1.3.12
RXN-16327	
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN-20081	
RXN-14336	EC-2.3.2.21
RXN-12368	EC-2.1.1.211
RXN-11860	EC-2.1.1.207
DATPDGTP--DNA-PURINE-TRANSFERASE-RXN	EC-2.6.99.1
RXN0-2584	EC-3.2.2.27
RXN-19466	
RXN-11311	EC-2.3.2
RXN-19443	
RXN-10925	
RXN-17075	
RXN0-6528	EC-3.1.26.1
RXN-14528	EC-2.1.1.290
RXN-11143	EC-3.1.26.13
RXN-11598	EC-2.1.1.193
RXN-17931	
RXN-12555	
RXN-11125	
RXN-11580	EC-2.1.1.168
RXN0-5418	EC-2.3.1.193
RXN-19248	EC-4.1.99.3
RXN-17891	EC-2.3.2.8
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
RXN-12491	
3.4.21.42-RXN	EC-3.4.21.42
2.1.1.72-RXN	EC-2.1.1.72
RXN-12466	EC-2.1.1.220
RXN1G-1436	EC-3.1.3.12
RXN0-5144	EC-2.1.1.61
NAD+-ADP-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.30
RXN-10677	EC-2.3.2
RXN-21077	EC-4.2.99.M2
RXN-13366	EC-5.1.2
RXN-11857	EC-2.1.1.202
RXN-12275	EC-1.18.99
RXN-19463	
3.2.1.150-RXN	EC-3.2.1.150
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	EC-2.1.1.35
RXN-18108	EC-3.2.1.203
RXN-11638	EC-2.1.1.199
RXN0-6525	EC-3.1.13.1
RXN-17498	
RXN-11595	EC-2.1.1.180
RXN-17926	
RXN-19727	EC-3.1.1.96
RXN-11576	EC-2.1.1.172
RXN-17909	
RXN-15418	EC-2.3.2.21
RXN-13998	EC-2.1.1.268
RXN-19245	EC-4.1.99.3
RXN-17888	EC-2.3.2.8
NUCLEOSIDE-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.5
RXN1G-290	
RXN-17847	EC-2.3.2.6
RXN-12463	EC-2.1.1.226
DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN	EC-2.7.7.31
RXN0-5100	EC-5.99.1
RXN-1961	EC-6.3.4.19
RXN-12381	EC-2.1.1.215
RXN-20056	
DEOXYHYPUSINE-MONOOXYGENASE-RXN	EC-1.14.99.29
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RXN-20035	
RXN-17713	
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
RXN-19025	EC-4.1.99.3
RXN-19494	EC-6.2.1.62
RXN-14708	EC-6.5.1.5
RXN-19456	
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	EC-2.7.7.56
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
RXN0-7007	EC-2.1.1
LEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.4
RXN-11634	EC-2.1.1.183
2.3.2.10-RXN	EC-2.3.2.10
RXN-14539	EC-2.1.1.290
RXN0-6522	EC-3.1.26.12
RNA-URIDYLYLTRANSFERASE-RXN	EC-2.7.7.52
RXN-17942	EC-6.5.1.8
RXN-11592	EC-2.1.1.177
RXN0-5510	EC-3.6.1
RXN-11573	EC-2.1.1.187
RXN-9775	EC-2.1.3.10
RXN-19242	EC-4.1.99.3
RXN-12502	EC-2.7.7.79
RXN-4545	
RXN-12460	EC-3.1.1.29
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
3.4.21.115-RXN	EC-3.4.21.115
RXN0-5189	EC-3.2.2.20
RXN-21149	EC-6.2.1.aa
RXN-12378	EC-2.1.1.215
RXN-9546	EC-1.3.1
RXN0-2622	EC-3.1
RXN-19004	
RXN-19453	EC-6.2.1.ab
TRNA-ADENINE-N6--METHYLTRANSFERASE-RXN	EC-2.1.1.55
RXN-7940	EC-3.4.21.42
3.4.22.66-RXN	EC-3.4.22.66
3.1.13.5-RXN	EC-3.1.13.5
RNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.49
RXN-17939	
RXN-11588	EC-2.1.1.185
RXN-15942	EC-1.3.98
RXN-13992	EC-3.5.4.37
RXN-19239	EC-4.1.99.13
RXN-12498	EC-5.4.99.43
ENTDB-RXN	EC-2.7.8.7
RXN1G-811	
RXN-12478	EC-2.1.1.225
RXN-12457	EC-1.3.1.89
3.4.21.110-RXN	EC-3.4.21.110
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12
RXN-12876	
RXN-12374	EC-2.1.1.214
RXN-11867	EC-2.1.1.200
GSDEADENYLATION-RXN	EC-2.7.7.89
RXN0-2606	
RXN-19474	EC-6.2.1.ae
RXN-19968	
RXN-3944	EC-3.5.2.20
RXN-19105	EC-2.1.1
RXN-11048	EC-3.2.2.28
D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN	EC-2.1.2.7
RXN-720	EC-1.14.14
RXN-13978	EC-2.3.1
RXN-115	EC-1.14.11.13
3.4.22.42-RXN	EC-3.4.22.42
1.13.11.46-RXN	EC-1.13.11.46
RXN18C3-239	EC-1.1.1
RXN-16802	EC-1.14.12.23
RXN-14441	EC-2.4.1.299
5.99.1.3-RXN	EC-5.6.2.2
RXN6666-5	EC-1.2.1.3
RXN-19598	EC-3.7.1.24
RXN-17305	EC-1.1.1.M11
GLYC3PDEHYDROG-RXN	EC-1.1.5.3
RXN-8093	EC-1.2.3.1
RXN-20071	EC-1.3.8.M1
RXN-12031	
MANNONDEHYDRAT-RXN	EC-4.2.1.8
2.3.1.175-RXN	EC-2.3.1.175
RXN-8581	EC-1.1.1.90
RXN-14872	
RXN-12547	EC-2.3.1.76
BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN	EC-1.13.11.39
TRANS-RXN-198	
RXN-17729	EC-2.3.1.51
RXN-15317	EC-3.1.21.9
TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN	EC-4.1.2.32
RXN-20578	EC-1.13.11.34
RXN-18209	
PYRIDOXAL-4-DEHYDROGENASE-RXN	EC-1.1.1.107
RXN-9052	EC-2.1.1
RXN-21047	EC-1.2.1
RXN-13034	EC-4.2.2.26
RXN-10452	EC-1.14.13
RXN-9567	EC-1.3.1.105
RXN-15787	EC-6.4.1
RXN-13506	EC-1.14.14.115
3.1.1.64-RXN	EC-3.1.1.1
RXN-18659	EC-3.1.3.105
RXN-16262	EC-1.1.1.384
RXN-3641	EC-2.3.1.174
RXN-19087	
RXN-11027	EC-3.6.1
CYSTEINE-CONJUGATE-TRANSAMINASE-RXN	EC-2.6.1.75
RXN0-300	EC-1.1.1
RXN-713	EC-1.14.99
RXN-13962	EC-2.3.1.213
RXN-11472	EC-1.1.1.391
3.4.22.27-RXN	EC-3.4.22.27
1.10.3.7-RXN	EC-1.21.3.4
RXN18C3-114	EC-2.3.1
RXN-16782	EC-2.3.1
RXN-14426	EC-1.14.20
5.3.1.23-RXN	EC-5.3.1.23
RXN-19582	
RXN-17277	EC-2.1.1.M13
GLUTARATE--COA-LIGASE-RXN	EC-6.2.1.6
RXN-8075	EC-4.2.3
RXN-2005	
RXN-12013	EC-2.1.1.M5
MALTACETYLTRAN-RXN	EC-2.3.1.79
2.3.1.155-RXN	EC-2.3.1.155
RXN66-578	EC-2.7.8.2
RXN-8562	EC-4.2.3.75
RXN-14855	EC-1.14.13.181
RXN-12529	EC-2.3.2
BETA-DIKETONE-HYDROLASE-RXN	EC-3.7.1.7
TRANS-RXN-167A	EC-2.7.1.191
RXN-17706	
RXN-15301	EC-1.5.1.48
TRANS-RXN0-600	
RXN-20562	EC-3.1.1.4
RXN-18193	
PSII-RXN	EC-1.10.3.9
RXN-9030	EC-3.3.2.15
RXN-2103	EC-3.2.1.15
RXN-13015	
RXN-10434	EC-6.3
RXN-9502	EC-1.14.14.117
RXN-15767	EC-2.2.1.12
RXN-13489	
3-OXO-5-BETA-STEROID-4-DEHYDROGENASE-RXN	EC-1.3.99.6
RXN-18638	EC-2.6.1.115
RXN-16246	EC-2.8.3.24
RXN-3541	EC-1.10.3.3
RXN-19062	
RXN-11008	EC-6.3.2
CYCLOHEXANONE-DEHYDROGENASE-RXN	EC-1.3.99.14
RXN0-2441	EC-2.1.1.144
RXN-7021	EC-2.4.1.202
RXN-13946	EC-4.3.99.4
RXN-11453	EC-1.2.98.1
3.4.21.93-RXN	EC-3.4.21.93
1.1.3.32-RXN	EC-1.14.19.64
RXN0-882	EC-1.17.7.1
RXN-16766	
RXN-14408	
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
RXN-19563	EC-3.4.13.23
RXN-17252	
GLUCURONOXYLAN-4-O-METHYLTRANSFERASE-RXN	EC-2.1.1.112
RXN-8042	EC-5.2.1.13
RXN-2003	
RXN-11984	
MACROLIDE-2-KINASE-RXN	EC-2.7.1.136
2.3.1.125-RXN	EC-2.3.1.125
RXN66-515	EC-3.3.2
RXN-8545	EC-4.2.3
RXN-14835	EC-2.3.1.232
RXN-12506	
BAIAEUBSP-RXN	EC-1.1.1.395
TRANS-RXN-141	
RXN-17690	EC-1.10.3.16
RXN-15284	EC-6.1.2.2
RXN-20546	EC-3.1.1.4
RXN-18177	EC-4.4.1.M2
PROSTAGLANDIN-ENDOPEROXIDE-SYNTHASE-RXN	EC-1.14.99.1
RXN-9010	EC-2.1.1.308
RXN-21009	EC-2.1.1.M67
RXN-12986	EC-3.1.7
RXN-10381	EC-4.2.1.80
TRANS-RXN0-571	
RXN-9487	
RXN-15748	EC-6.3.2
RXN-13472	EC-2.4.1
3-HYDROXYBENZOATE-4-MONOOXYGENASE-RXN	EC-1.14.13.23
RXN-18621	EC-1.1.99.41
RXN-16228	EC-1.14.19.13
RXN-3303	EC-4.2.1.105
RXN-19046	EC-4.4.1.37
RXN-10992	
CREATINE-KINASE-RXN	EC-2.7.3.2
RXN0-2044	EC-1.1.1.35
RXN-6723	EC-2.1.1.274
RXN-13930	EC-2.1.1
RXN-11437	EC-4.4.1.M2
3.4.21.78-RXN	EC-3.4.21.78
1.1.1.289-RXN	EC-1.1.1.289
RXN0-7317	EC-2.6.1
RXN-16744	EC-2.1.1
RXN-14385	EC-2.8.1.7
4.99.1.3-RXN	EC-4.99.1.3
RXN-19546	
RXN-17231	EC-1.1.1.M10
GLUCOSE-1-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.118
RXN-8023	
RXN-20008	EC-3.1.1.109
RXN-11963	EC-2.5.1.87
LYSACET-RXN	EC-2.3.1
2.1.1.99-RXN	EC-2.1.1.99
RXN66-495	EC-1.13.11.34
RXN-8528	EC-5.5.1.14
RXN-14819	EC-1.1.1.363
RXN-12446	EC-1.5.1.36
ASPCARBTRANS-RXN	EC-2.1.3.2
TRANS-RXN-121A	
RXN-17669	EC-1.1.1
RXN-15256	EC-4.99.1
RXN-20528	EC-2.3.1.51
RXN-18161	EC-1.14.14.43
PROGESTERONE-MONOOXYGENASE-RXN	EC-1.14.99.4
RXN-8990	EC-4.1.1.109
RXN-20987	EC-2.7.2.16
RXN-12965	
RXN-10132	
TRANS-RXN0-551	
RXN-9467	
RXN-15732	EC-2.1.1
RXN-13453	EC-3.2.1
2TRANSKETO-RXN	EC-2.2.1.1
RXN-18597	EC-2.7.1.220
RXN-16205	
RXN-3142	EC-2.3.1.170
RXN-19028	EC-3.2.2.17
RXN-10974	EC-2.7.4.21	EC-2.7.4.24
COBALAMIN5PSYN-RXN	EC-2.7.8.26
RXN0-18	
RXN-6642	EC-3.4.13.23
RXN-13913	EC-2.1.1
RXN-11422	
3.4.21.63-RXN	EC-3.4.21.63
1.1.1.263-RXN	EC-1.1.1.263
RXN0-7238	EC-6.2.1.3
RXN-16722	EC-2.1.1.M6
RXN-14364	EC-5.1.3.31
4.2.99.19-RXN	EC-4.4.1.23
RXN-19527	
RXN-17203	EC-2.8.2.11
GLCNACPTRANS-RXN	EC-2.7.8.33
RXN-8006	EC-2.4.1
RXN-19990	EC-2.1.1.M49
RXN-11928	EC-1.1.1.418
LINOLEOYL-RXN	EC-3.1.2
2.1.1.64-RXN	EC-2.1.1.64
RXN66-478	EC-1.1.1.1
RXN-8512	EC-4.2.3.132
RXN-14804	EC-5.3.3.8
RXN-12425	EC-3.2.1.158
ASCORBATE-PHOSPHORYLATION-IV-RXN	EC-2.7.1
TRANS-RXN-108A	
RXN-17649	EC-1.14.15.28
RXN-15239	EC-1.14.13
RXN-20512	EC-2.3.1.51
RXN-18142	EC-1.14.19.50
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN-8966	EC-2.8.3.20
RXN-20966	EC-2.1.1.M66
RXN-12944	EC-2.1.1
RXN-10114	EC-1.21.99.M3
TRANS-RXN0-532	
RXN-945	
RXN-15712	EC-6.5.1.7
RXN-13433	EC-1.1.1.331
2.8.3.17-RXN	EC-2.8.3.17
RXN-18573	EC-6.1.3.1
RXN-16187	EC-1.14.19
RXN-2883	EC-1.5.1
RXN-1901	EC-3.13.1.7
RXN-10957	EC-2.7.1
CINNAMATE-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.177
RXN0-1402	
RXN-6544	EC-1.14.11
RXN-13896	EC-2.1.1
RXN-11407	EC-1.1.1.203
3.4.21.45-RXN	EC-3.4.21.45
1.1.1.226-RXN	EC-1.1.1.226
RXN0-7154	EC-1.1.1.2
RXN-16701	EC-1.1.1.399
RXN-14344	EC-6.3.4.22
4.2.2.3-RXN	EC-4.2.2.3
RXN-19510	EC-6.3.2
RXN-17180	EC-2.3.1.252
GDP-GLUCOSIDASE-RXN	EC-3.2.1.42
RXN-7978	
RXN-19972	EC-1.21.3.M1
RXN-11909	
LICODIONE-2-O-METHYLTRANSFERASE-RXN	EC-2.1.1.65
2.1.1.146-RXN	EC-2.1.1.279	EC-2.1.1.146
RXN66-360	EC-1.14.15.5
RXN-8496	EC-4.2.1.121
RXN-14788	EC-2.3.1.16
RXN-1241	EC-1.2.1.68
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.91
TRANS-CINNAMATE-4-MONOOXYGENASE-RXN	EC-1.14.14.91
RXN-17632	EC-3.5.1.124
RXN-15223	
RXN-20459	
RXN-18123	EC-1.14.19
PHTHALATE-45-DIOXYGENASE-RXN	EC-1.14.12.7
RXN-8949	EC-1.14.20.3
RXN-20942	EC-2.7.1.230
RXN-12923	EC-2.1.1.254
RXN-10097	
TRANS-RXN0-513	EC-7.4.2
RXN-9435	EC-1.14.13.105
RXN-15692	
RXN-13411	EC-2.4.1.249
2.7.9.5-RXN	EC-2.7.9.5
RXN-18556	EC-1.1.1.412
RXN-16166	EC-5.1.3
RXN-2542	EC-2.1.1.295
RXN-18992	
RXN-10938	EC-3.1.3
RXN-9995	EC-2.7.7.67
RXN-6424	
RXN-13879	EC-1.14.18
RXN-11390	EC-1.5.1.46
3.4.21.20-RXN	EC-3.4.21.20
1.1.1.178-RXN	EC-1.1.1.178
RXN0-7081	
RXN-16673	
RXN-14319	EC-2.5.1
4.2.1.93-RXN	EC-4.2.1.93
RXN-19430	
RXN-17154	
GALACTUROISOM-RXN	EC-5.3.1.12
RXN-7948	EC-3.1.3.75
RXN-19948	
RXN-11890	EC-2.4.1.255
2.1.1.125-RXN	EC-2.1.1.321
RXN66-343	EC-1.3.1.22
RXN-8479	EC-2.4.1
RXN-14772	EC-4.2.1.119
RXN-12392	EC-2.4.1.1
ARACHIDONATE-8-LIPOXYGENASE-RXN	EC-1.13.11.40
THYM-PHOSPH-RXN	EC-2.4.2.2	EC-2.4.2.4
RXN-17613	EC-1.1.1.M26
RXN-15200	EC-2.6.1.57
RXN-20437	
RXN-18104	
PHOSPHOADENYLYLSULFATASE-RXN	EC-3.6.2.2
RXN-8930	EC-3.5.1.84
RXN-20924	
RXN-12902	EC-2.1.1.21
RXN-10080	
TRANS-RXN0-496	
RXN-9420	EC-1.14.13.105
RXN-15660	EC-3.2.2
RXN-13390	EC-2.1.1
2.7.7.60-RXN	EC-2.7.7.60
RXN-18526	
RXN-16149	EC-1.14.19.25
RXN-2301	EC-2.6.1.55
RXN-18975	EC-4.2.1.174
RXN-10915	EC-1.1.1.1
RXN-9971	EC-1.3.1.94
RXN-6267	EC-1.14.11.21
RXN-13858	EC-1.14.19.12
RXN-11372	EC-2.4.2.36
3.4.17.21-RXN	EC-3.4.17.21
1.1.1.127-RXN	EC-1.1.1.127
RXN0-7024	EC-1.1.1.350
RXN-16654	EC-1.2.1.3
RXN-14290	
4.1.2.30-RXN	EC-1.14.14.32
RXN-19413	EC-3.1.1
RXN-17130	EC-1.4.3.2
GALACTITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.16
RXN-7897	EC-1.13.11
RXN-19931	
RXN-11849	EC-1.14.13.182
2-PHOSPHOASCORBATE-DEPHOSPHORYLATION-RXN	EC-3.1.3
RXN66-314	EC-1.1.1.270
RXN-8456	EC-1.21.3.6
RXN-14752	EC-2.1.1
RXN-12354	EC-5.3.2.M1
ANHYDROTETRACYCLINE-MONOOXYGENASE-RXN	EC-1.14.13.38
THIOL-OXIDASE-RXN	EC-1.8.3.2
RXN-17596	
RXN-15178	EC-2.7.1.206
L-THREONATE-3-DEHYDROGENASE-RXN	EC-1.1.1.129
RXN-20420	EC-1.3.1.M23
RXN-18085	EC-1.14.99.55
PHOSACETYLTRANS-RXN	EC-2.3.1.8
RXN-8905	EC-1.14.13
RXN-20904	EC-1.14.14
RXN-12884	EC-1.14.14.112
TRANS-RXN0-470	
RXN-9405	
RXN-15641	
RXN-13372	EC-3.7.1
2.7.7.15-RXN	EC-2.7.7.15
RXN-18508	
RXN-16133	EC-1.1.1.35
RXN-10056	EC-3.5.1.102
RXN-2162	EC-1.14.13.M51
RXN-18958	
RXN-10899	
RXN-9936	EC-3.1.3.79
RXN-6021	EC-1.1.1
RXN-13842	EC-2.1.1
RXN-11354	EC-5.2.1.12
3.4.15.1-RXN	EC-3.4.15.1
