PWY-7725	arachidonate biosynthesis V (8-detaturase, mammals)	
PWY-7985	oxalate degradation VI	
PWY-6113	superpathway of mycolate biosynthesis	
PWY-5864	superpathway of plastoquinol biosynthesis	superpathway of plastoquinone biosynthesis
PWY-6105	botryococcenes and methylated squalene biosynthesis	botryococcene hydrocarbon biosynthesis
PWY-5694	allantoin degradation to glyoxylate I	
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
PWY-5327	superpathway of L-lysine degradation	
P542-PWY	choline-<i>O</i>-sulfate degradation	choline sulfate degradation
PWY-5180	toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol)	
PWY-7098	vanillin and vanillate degradation II	
PWY-5005	biotin biosynthesis II	vitamin H biosynthesis
PWY-6302	dihydroconiferyl alcohol biosynthesis	dihydroconiferyl aldehyde biosynthesis
PWY-1882	superpathway of C1 compounds oxidation to CO<sub>2</sub>	
PWY-6696	oxalate degradation III	
METHGLYUT-PWY	superpathway of methylglyoxal degradation	
PWY-6610	adenine salvage	
PWY-6855	chitin degradation I (archaea)	chitin degradation (archaea)
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminic acid dissimilation
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	vitamin H biosynthesis
THRESYN-PWY	superpathway of L-threonine biosynthesis	
P401-PWY	cyanide degradation	
PWY-7461	hydroxycinnamate sugar acid ester biosynthesis	
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	
PWY-7846	heme degradation V	
PWY0-1325	superpathway of L-asparagine biosynthesis	
PWY-7715	superpathway of trichothecene biosynthesis	
PWY-6649	glycolate and glyoxylate degradation III	3-hydroxyaspartate pathway	&beta;-hydroxyaspartate pathway
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)	crotonic acid fermentation (to acetic acid and cyclohexane carboxylate)
PWY-8129	cell-surface glycoconjugate-linked phosphonate biosynthesis	
PWY-7283	wybutosine biosynthesis	
PWY-7186	superpathway of scopolin and esculin biosynthesis	post-harvest physiological deterioration hydroxycoumarin and hydrocycoumarin glucoside biosynthesis	PPD hydroxycoumarin and hydrocycoumarin glucoside biosynthesis
PWY-7841	neolacto-series glycosphingolipids biosynthesis	neolactoglycosphingolipids biosynthesis
PWY-6963	ammonia assimilation cycle I	GS/GOGAT pathway
PWY-6662	superpathway of quinolone and alkylquinolone biosynthesis	
PWY-5893	tridecaprenyl diphosphate biosynthesis	
PWY-5302	sulfur disproportionation II (aerobic)	
PWY-6564	heparan sulfate biosynthesis	
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)	IAA biosynthesis V (bacteria and fungi)	indole-3-acetic acid biosynthesis V (bacteria and fungi)
PWY-5936	xyloglucan biosynthesis	
PWY-6395	superpathway of seleno-compound metabolism	superpathway of seleno-compound detoxification	superpathway of selenium uptake and metabolism	superpathway of seleno-amino acid biosynthesis and detoxification
PWY-7886	cell-surface glycoconjugate-linked phosphocholine biosynthesis	Kennedy pathway
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	glycolate utilization I	glycolate degradation I
REDCITCYC	TCA cycle VI (Helicobacter)	Krebs cycle	tricarboxylic acid cycle	TCA cycle	citric acid cycle
PWY0-1546	muropeptide degradation	
P121-PWY	adenine and adenosine salvage I	purine salvage	salvage pathway of adenosine nucleosides	adenosine nucleosides salvage I
PWY-7822	chitin degradation III (Serratia)	
PWY-3121	linamarin degradation	linamarin cyanogenesis
PWY-8119	microcin B17 biosynthesis	MccB17 biosynthesis
PWY-5287	sanguinarine and macarpine biosynthesis	
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
PWY-6762	salicylate glucosides biosynthesis IV	SA glucosides biosynthesis IV	salicylate 2-O-&beta;-D-glucoside biosynthesis	salicylic acid glucosides biosynthesis IV	SAG-&beta;-D-glucoside biosynthesis	salicylic acid 2-O-&beta;-D-glucoside biosynthesis
PWY-6190	2,4-dichlorotoluene degradation	
PWY-7843	heme degradation IV	
PWY-7923	archaeosine biosynthesis II	
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	glyoxylate degradation
PWY-7452	cyanidin dimalonylglucoside biosynthesis	
PWY-6341	guaiacylglycerol-&beta;-guaiacyl ether degradation	GGE degradation
PWY-5807	heptaprenyl diphosphate biosynthesis	
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY-6914	sophoraflavanone G biosynthesis	
PWY-6960	L-ascorbate degradation III	
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	citric acid cycle	tricarboxylic acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-7794	polyethylene terephthalate degradation	PET degradation
PWY-6611	adenine and adenosine salvage V	adenosine nucleosides salvage V
PWY-6902	chitin degradation II (Vibrio)	
PWY-4681	kievitone biosynthesis	
PWY-6280	synechoxanthin biosynthesis	
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	acetoacetic acid degradation (to acetyl CoA)
PWY-7847	heme degradation VI	
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	
PWY-7312	dTDP-D-&beta;-fucofuranose biosynthesis	
PWY-7838	globo-series glycosphingolipids biosynthesis	globoglycosphingolipids biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis	
P203-PWY	sulfur disproportionation I (anaerobic)	
PWY-7153	grixazone biosynthesis	
PWY-6704	L-ascorbate degradation IV	tartaric acid biosynthesis	tartrate biosynthesis
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	citric acid cycle	tricarboxylic acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-7774	propane degradation I	
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
PWY-6906	chitin derivatives degradation	
PWY-7093	vicianin bioactivation	
PWY-181	photorespiration	C2 photorespiratory carbon oxidation cycle	PCO cycle
PWY-7443	(4S)-carvone biosynthesis	(+)-carvone biosynthesis	D-carvone biosynthesis
PWY-6191	2,5-dichlorotoluene degradation	
PWY-7844	heme degradation III	
PWY-7583	arachidonate biosynthesis II (bacteria)	
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	ascorbic acid degradation I
PWY-7775	propane degradation II	
PWY-8028	cycloartenol biosynthesis	
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	
PWY-7055	daphnetin modification	
PWY-6959	L-ascorbate degradation V	
TCA	TCA cycle I (prokaryotic)	tricarboxylic acid cycle	citric acid cycle	Krebs cycle	Szent-Gyorgyi-Krebs cycle
PWY-7778	2-methylpropene degradation	
PWY-6618	guanine and guanosine salvage III	
PWY-6805	cellulose degradation I (cellulosome)	
PWY-7978	<i>N</i>-methylpyrrolidone degradation	
PWY-6040	chlorogenic acid biosynthesis II	
PWY-7164	chlorophyll <i>a</i> degradation III	
PWY-5534	propene degradation	propylene degradation
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)	
PWY-6976	dTDP-L-mycarose biosynthesis	
PWY-7404	ceramide phosphoethanolamine biosynthesis	sphingoethanolamine biosynthesis
PWY-6520	nonaprenyl diphosphate biosynthesis II	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
PWY-5278	sulfite oxidation III	
TRPIAACAT-PWY	indole-3-acetate biosynthesis VI (bacteria)	indole-3-acetic acid biosynthesis VI
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	
PWY-7254	TCA cycle VII (acetate-producers)	tricarboxylic acid cycle	citric acid cycle	Krebs cycle	Szent-Gyorgyi-Krebs cycle	TCA cycle VII (acetic acid-producers)
PWY-7776	ethene and chloroethene degradation	ethylene and chloroethylene degradation	vinyl chloride degradation
PWY-6620	guanine and guanosine salvage	
PWY-6788	cellulose degradation II (fungi)	
PWY-7089	taxiphyllin bioactivation	
PWY-7810	chlorotetracycline biosynthesis	
PWY-7522	(<i>R</i>)-canadine biosynthesis	
PWY-8011	L-serine biosynthesis II	glycerate&ndash;serine pathway
PWY-981	salicylate biosynthesis II	salicylic acid biosynthesis
PWY-6193	3-chlorocatechol degradation II (<i>ortho</i>)	
PWY-6927	chlorophyll <i>a</i> degradation II	
PWY-7891	tRNA-uridine 2-thiolation (yeast mitochondria)	
PWY-7777	isoprene degradation	
PWY-6483	ceramide degradation (generic)	
PWY-5295	ternatin C5 biosynthesis	
PWY-7550	ergothioneine biosynthesis II (fungi)	
PWY-6453	stigma estolide biosynthesis	
PWY-7145	genistin gentiobioside biosynthesis	genistein 3-<i>O</i>-gentiobioside biosynthesis
PWY-7119	ceramide and sphingolipid recycling and degradation (yeast)	
PWY-5690	TCA cycle II (plants and fungi)	TCA cycle -- aerobic respiration	tricarboxylic acid cycle	citric acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-6599	guanine and guanosine salvage II	
PWY-6822	&iota;-carrageenan degradation	
PWY-2002	isoflavonoid biosynthesis I	
PWY-7939	chlorobactene biosynthesis	
PWY-6377	&alpha;-tocopherol degradation	vitamin E degradation
PWY-5098	chlorophyll <i>a</i> degradation I	
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	ceramide degradation
PWY-7657	dTDP-&beta;-L-digitoxose biosynthesis	
PWY-8027	parkeol biosynthesis	
PWY-5326	sulfite oxidation IV	
PWY-5955	versicolorin B biosynthesis	
PWY66-388	ceramide degradation by &alpha;-oxidation	
PWY66-398	TCA cycle III (animals)	tricarboxylic acid cycle	citric acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-6817	&lambda;-carrageenan degradation	
PWY0-1585	formate to nitrite electron transfer	
SERSYN-PWY	L-serine biosynthesis I	
PWY-6451	3-carene biosynthesis	
PWY-6214	3-chlorocatechol degradation III (<i>meta</i> pathway)	
PWY-5373	calendate biosynthesis	calendic acid biosynthesis
PWY-7466	acetone degradation III (to propane-1,2-diol)	
PWY-6008	baruol biosynthesis	
PWY-5365	linear furanocoumarin biosynthesis	
PWY-5451	acetone degradation I (to methylglyoxal)	
PWY-5913	partial TCA cycle (obligate autotrophs)	TCA cycle VI (obligate autotrophs)
PWY-6821	&kappa;-carrageenan degradation	
PWY-5867	<i>t</i>-anethole biosynthesis	fennel volatiles biosynthesis
PWY-5533	acetone degradation II (to acetoacetate)	isopropanol degradation	acetone degradation II (to acetoacetic acid)
PWY-6953	dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-4985	mimosine biosynthesis	
PWY-7455	allopregnanolone biosynthesis	
PWY-3	putrescine degradation V	
PWY-5279	sulfite oxidation II	
PWY-581	indole-3-acetate biosynthesis II	auxin biosynthesis	indole-3-acetic acid biosynthesis II	IAA de novo synthesis	IAA biosynthesis II
PWY-6566	chondroitin biosynthesis	
PWY-7337	10-<i>cis</i>-heptadecenoyl-CoA degradation (yeast)	
PWY0-1295	pyrimidine ribonucleosides degradation	
CRNFORCAT-PWY	creatinine degradation I	creatinine catabolism
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
PWY0-1584	nitrate reduction X (dissimilatory, periplasmic)	periplasmic glycerol-3-phosphate to nitrate electron transfer
PWY-7671	saframycin A biosynthesis	
PWY-6337	dehydroscoulerine biosynthesis	protoberberine alkaloid biosynthesis	benzophenanthridine alkaloid biosynthesis
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	
PWY-6623	salicylate glucosides biosynthesis II	2,5-dihydroxybenzoate 5-O-&beta;-D-glucoside biosynthesis	2,5-dihydroxybenzoic acid 5-O-&beta;-D-glucoside biosynthesis	salicylic acid glucosides biosynthesis II
PWY-6089	3-chlorocatechol degradation I (<i>ortho</i>)	
PWY-7285	methylwyosine biosynthesis	
PWY-7291	oleate &beta;-oxidation (isomerase-dependent, yeast)	
PWY-7961	phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-7280	ternatin C3 biosynthesis	
PWY-7255	ergothioneine biosynthesis I (bacteria)	
PUTDEG-PWY	putrescine degradation I	putrescine degradation
PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>)	lipid-A-precursor biosynthesis (<i>P. putida</i>)
PWY-5825	dalpatein and dalnigrein biosynthesis	dalpatein glycoside hydrolysis	dalnigrein glycoside hydrolysis	dalpatein and dalnigrein biosynthesis
PWY-5138	fatty acid &beta;-oxidation IV (unsaturated, even number)	unsaturated, even numbered fatty acid &beta;-oxidation
PWY-4722	creatinine degradation II	
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-5946	&alpha;-carotene biosynthesis	
PWY-2904	formononetin conjugates interconversion	
PWY-2724	alkane oxidation	fatty acid &omega;-oxidation
PWY-7969	5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-7318	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucopyranose biosynthesis
PWY-6132	lanosterol biosynthesis	
PWY0-1221	putrescine degradation II	
PWY-7457	sulfite oxidation V (SoeABC)	
PWY-6655	xanthan biosynthesis	
PWY-8007	staphylopine biosynthesis	
PWY0-1337	oleate &beta;-oxidation	
PWY-4741	creatinine degradation III	
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	
PWY0-1021	L-alanine biosynthesis III	
PWY-6445	fenchol biosynthesis II	
PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)	
PWY-7338	10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	
PWY-5374	punicate biosynthesis	punicic acid biosynthesis
PWY-7966	5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-7854	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)	CO<sub>2</sub> fixation (engineered)	CETCH 5.4 cycle	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle	carbon dioxide fixation (engineered)
PWY-7474	avenacin A-2 biosynthesis	
PWY-0	putrescine degradation III	
PWY-5165	4-toluenesulfonate degradation II	
PWY-5176	coumarin biosynthesis (via 2-coumarate)	
PWY-7292	oleate &beta;-oxidation (thioesterase-dependent, yeast)	
PWY-6567	chondroitin sulfate biosynthesis (late stages)	
PWY-2181	free phenylpropanoid acid biosynthesis	
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	CO<sub>2</sub> fixation into oxaloacetic acid (anaplerotic)
PWY-6837	fatty acid &beta;-oxidation V (unsaturated, odd number, di-isomerase-dependent)	
PWY-7963	4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	<i>p</i>-cresolyl adenosylcobamide biosynthesis
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis	dTDP-4-acetamido-&alpha;-D-fucose biosynthesis	dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-5	canavanine biosynthesis	
PWY-6036	cardenolide glucosides biosynthesis	
PWY-2	putrescine degradation IV	
PWY-5276	sulfite oxidation I	
PWY-3161	indole-3-acetate biosynthesis III (bacteria)	IAA biosynthesis III (bacteria)	indole-3-acetic acid biosynthesis II (bacteria)
PWY-6557	glycosaminoglycan-protein linkage region biosynthesis	heparan sulfate biosynthesis (early stages)	chondroitin sulfate biosynthesis (early stages)	GAG-protein linkage region biosynthesis
PWY-5136	fatty acid &beta;-oxidation II (plant peroxisome)	fatty acid &beta;-oxidation II (plants)
PWY-6558	heparan sulfate biosynthesis (late stages)	
PWY0-1581	nitrate reduction IX (dissimilatory)	glycerol-3-phosphate to nitrate electron transfer
ALANINE-SYN2-PWY	L-alanine biosynthesis II	
PWY-5470	palmatine biosynthesis	
PWY-7441	polymyxin A biosynthesis	
PWY-6624	salicylate glucosides biosynthesis III	salicylic acid glucosides biosynthesis III	salicylate glucose ester biosynthesis	SA glucose ester biosynthesis	SGE biosynthesis
PWY-6711	archaeosine biosynthesis I	
PWY-6228	3-chlorobenzoate degradation III (via gentisate)	
PWY-5493	reductive monocarboxylic acid cycle	reductive monocarboxylate cycle
PWY66-387	&beta;-methyl-branched fatty acid &alpha;-oxidation	3-methyl-branched fatty acid &alpha;-oxidation
PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-5268	salvianin biosynthesis	
PWY-7717	3-hydroxy-4-methyl-anthranilate biosynthesis I	3-hydroxy-4-methyl-anthranilic acid biosynthesis I
PWY-5884	wax esters biosynthesis I	jojoba wax biosynthesis	liquid seed wax biosynthesis
PWY-5061	6,7,4'-trihydroxyisoflavone biosynthesis	
FAO-PWY	fatty acid &beta;-oxidation I (generic)	
PWY-6568	dermatan sulfate biosynthesis (late stages)	
PWY-7636	astaxanthin biosynthesis (flowering plants)	
PWY-2761	(-)-glycinol biosynthesis	
PWY-7339	10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)	
PWY-7967	5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-7104	dTDP-L-megosamine biosynthesis	
PWY-7588	ursodeoxycholate biosynthesis (bacteria)	ursodeoxycholic acid biosynthesis (bacteria)	bear bile acid biosynthesis
PWY0-1534	hydrogen sulfide biosynthesis I	
PWY-7687	stipitatate biosynthesis	stipitatic acid biosynthesis
PWY-7307	oleate &beta;-oxidation (reductase-dependent, yeast)	
PWY-6082	alginate biosynthesis II (bacterial)	bacterial alginate biosynthesis
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer	
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)	
PWY-5928	(4<i>R</i>)-carvone biosynthesis	
PWY-6088	3-chlorobenzoate degradation I (via chlorocatechol)	
PWY-7288	fatty acid &beta;-oxidation VII (yeast peroxisome)	
PWY-5375	&alpha;-eleostearate biosynthesis	&alpha;-eleostearic acid biosynthesis
PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	<i>Co</i>&alpha;-[a-(adenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP	pseudo-adenosyl cobamide biosynthesis from adenosylcobinamide-GDP
PWY-7750	carbon monoxide oxidation to CO<sub>2</sub>	carboxydotrophy
PWY-5875	staphyloxanthin biosynthesis	
TOLSULFDEG-PWY	4-toluenesulfonate degradation I	
PWY-7056	daphnin interconversion	
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	
PWY-6073	alginate biosynthesis I (algal)	alginic acid biosynthesis(algal)	algal algnate biosynthesis
PWY1F-467	phenylpropanoid biosynthesis, initial reactions	
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	
PWY66-391	fatty acid &beta;-oxidation VI (mammalian peroxisome)	
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	
PWY-7688	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis	
PWY-1	lathyrine biosynthesis	
PWY-7155	7-dehydroporiferasterol biosynthesis	
PWY-6047	dimethyl sulfide degradation I	DMS degradation	dimethylsulfide degradation I
PWY-7882	IM-2 type &gamma;-butyrolactones biosynthesis	
PWY-5750	itaconate biosynthesis I	
PWY-2501	fatty acid &alpha;-oxidation I (plants)	fatty acid &alpha;-oxidation
PWY-622	starch biosynthesis	
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer	
PWY-6955	lincomycin A biosynthesis	
PWY-3901	berberine biosynthesis	
PHESYN	L-phenylalanine biosynthesis I	
PWY-6406	salicylate biosynthesis I	salicylic acid biosynthesis
PWY0-1479	tRNA processing	
P23-PWY	reductive TCA cycle I	reductive tricarboxylic acid cycle	reductive tricarboxylic acid pathway	reductive citric acid cycle	reverse citric acid cycle	carbon fixation	CO<SUB>2</SUB> fixation	reductive carboxylic acid cycle
PWY-7340	9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)	
PWY-7975	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II	
PWY-5139	pelargonidin conjugates biosynthesis	
PWY-7765	3-hydroxy-4-methyl-anthranilate biosynthesis II	3-hydroxy-4-methyl-anthranilic acid biosynthesis II
PWY-7744	dimycocerosyl phthiocerol biosynthesis	DIM biosynthesis	PDIM biosynthesis
PWY-7633	calycosin 7-<i>O</i>-glucoside biosynthesis	
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine	
PROPIONMET-PWY	propanoyl CoA degradation I	propionyl CoA degradation I
PWY-7900	glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)	mycobacterial -&alpha;-D-glucan biosynthesis
PWY-5943	&beta;-carotene biosynthesis	
PWY-2467	(+)-pisatin biosynthesis	
